transaction_id,payment_method,device_type,city_tier,network_type,hour_of_day,amount,amount_bucket,past_failed_attempts,success
TXN_010000,UPI,Android,Tier 2,Wifi,6,5986.27,high,0,1
TXN_010001,PayLater,Android,Tier 2,Wifi,14,411.16,low,0,0
TXN_010002,Card,Android,Tier 1,4G,5,9605.3,high,0,1
TXN_010003,Card,iOS,Tier 3,4G,20,545.0,med,0,1
TXN_010004,UPI,Android,Tier 3,Wifi,20,5869.16,high,1,1
TXN_010005,UPI,Desktop,Tier 2,5G,13,4228.72,high,1,1
TXN_010006,UPI,Android,Tier 2,Wifi,14,1068.31,med,0,1
TXN_010007,Netbanking,iOS,Tier 2,Wifi,22,200.3,low,0,1
TXN_010008,Card,Android,Tier 1,4G,10,320.04,low,0,1
TXN_010009,Card,Desktop,Tier 1,4G,21,649.82,med,0,1
TXN_010010,UPI,Desktop,Tier 2,4G,3,1358.58,med,0,1
TXN_010011,PayLater,Android,Tier 3,5G,22,311.09,low,0,1
TXN_010012,Netbanking,iOS,Tier 1,4G,4,123.29,low,1,1
TXN_010013,UPI,iOS,Tier 2,5G,22,862.43,med,0,1
TXN_010014,UPI,Android,Tier 3,Wifi,22,294.09,low,0,1
TXN_010015,UPI,Android,Tier 1,4G,1,370.7,low,0,0
TXN_010016,UPI,Android,Tier 1,3G,19,399.43,low,0,1
TXN_010017,UPI,iOS,Tier 2,5G,14,976.02,med,0,0
TXN_010018,UPI,Android,Tier 1,Wifi,9,1940.05,med,1,1
TXN_010019,UPI,Android,Tier 1,4G,3,5169.64,high,3,1
TXN_010020,Card,Android,Tier 1,4G,22,188.01,low,1,0
TXN_010021,UPI,Android,Tier 1,4G,7,474.28,low,0,1
TXN_010022,UPI,iOS,Tier 3,4G,10,1846.24,med,0,1
TXN_010023,UPI,Desktop,Tier 2,4G,16,951.01,med,1,1
TXN_010024,UPI,Android,Tier 2,Wifi,6,261.28,low,2,1
TXN_010025,Netbanking,Android,Tier 2,4G,10,2876.33,high,0,1
TXN_010026,UPI,iOS,Tier 3,3G,21,928.82,med,0,1
TXN_010027,UPI,Android,Tier 1,5G,9,6895.7,high,0,1
TXN_010028,Card,Android,Tier 1,4G,0,1051.31,med,1,0
TXN_010029,UPI,Android,Tier 3,5G,7,489.41,low,1,1
TXN_010030,Card,Android,Tier 3,3G,4,499.87,low,0,0
TXN_010031,UPI,Android,Tier 1,5G,12,159.96,low,1,1
TXN_010032,UPI,iOS,Tier 1,4G,6,4966.41,high,3,1
TXN_010033,Wallet,Android,Tier 2,Wifi,23,793.89,med,0,1
TXN_010034,PayLater,iOS,Tier 1,4G,22,101.9,low,0,1
TXN_010035,Netbanking,Android,Tier 2,5G,10,2669.37,high,1,0
TXN_010036,UPI,Android,Tier 1,5G,11,245.12,low,0,1
TXN_010037,UPI,iOS,Tier 1,4G,13,1742.41,med,2,1
TXN_010038,Card,Android,Tier 2,4G,11,500.6,med,0,0
TXN_010039,UPI,Android,Tier 3,Wifi,0,1688.5,med,0,1
TXN_010040,UPI,Android,Tier 2,Wifi,5,167.49,low,0,1
TXN_010041,UPI,Android,Tier 1,5G,10,1253.0,med,0,1
TXN_010042,UPI,iOS,Tier 3,4G,10,345.04,low,4,1
TXN_010043,Wallet,Android,Tier 2,4G,11,104.35,low,0,1
TXN_010044,UPI,iOS,Tier 1,4G,0,1836.67,med,0,1
TXN_010045,Card,Android,Tier 1,5G,19,721.47,med,0,1
TXN_010046,UPI,Android,Tier 1,4G,19,426.87,low,0,1
TXN_010047,UPI,Desktop,Tier 2,4G,23,472.12,low,1,1
TXN_010048,UPI,iOS,Tier 2,4G,5,1967.46,med,1,1
TXN_010049,UPI,Android,Tier 1,5G,22,925.79,med,2,0
TXN_010050,PayLater,Android,Tier 1,Wifi,12,1805.38,med,0,1
TXN_010051,Netbanking,Android,Tier 1,5G,11,902.4,med,0,0
TXN_010052,Wallet,Android,Tier 2,5G,9,2916.99,high,1,1
TXN_010053,Wallet,iOS,Tier 1,4G,22,167.31,low,1,1
TXN_010054,Card,iOS,Tier 1,4G,6,155.67,low,0,1
TXN_010055,Wallet,Android,Tier 3,5G,9,1676.6,med,0,1
TXN_010056,UPI,iOS,Tier 2,5G,17,2967.25,high,0,1
TXN_010057,UPI,Android,Tier 1,4G,5,1611.38,med,1,1
TXN_010058,UPI,Android,Tier 2,5G,23,3454.71,high,0,1
TXN_010059,UPI,Android,Tier 1,Wifi,7,2716.32,high,0,1
TXN_010060,UPI,Desktop,Tier 2,5G,19,1274.03,med,0,1
TXN_010061,UPI,iOS,Tier 2,5G,22,89.57,low,0,0
TXN_010062,Netbanking,Android,Tier 2,Wifi,8,774.24,med,0,1
TXN_010063,UPI,Android,Tier 2,4G,15,555.2,med,0,1
TXN_010064,UPI,Desktop,Tier 1,5G,23,1696.97,med,0,1
TXN_010065,UPI,Android,Tier 2,Wifi,1,1795.07,med,0,1
TXN_010066,UPI,Android,Tier 1,4G,10,140.55,low,0,1
TXN_010067,Netbanking,Desktop,Tier 1,4G,23,196.88,low,0,1
TXN_010068,UPI,iOS,Tier 3,5G,18,50.28,low,0,1
TXN_010069,PayLater,Android,Tier 2,4G,3,6618.02,high,3,0
TXN_010070,Netbanking,Android,Tier 3,5G,2,1730.55,med,1,0
TXN_010071,UPI,Android,Tier 1,4G,14,529.87,med,0,1
TXN_010072,UPI,Android,Tier 2,5G,7,1166.45,med,0,1
TXN_010073,Netbanking,Desktop,Tier 1,5G,3,1384.04,med,0,0
TXN_010074,Card,Android,Tier 2,4G,10,2154.81,high,1,0
TXN_010075,Card,iOS,Tier 1,4G,16,83.33,low,0,0
TXN_010076,Netbanking,Android,Tier 1,4G,8,329.98,low,0,1
TXN_010077,UPI,Android,Tier 1,4G,0,1180.92,med,0,1
TXN_010078,UPI,Android,Tier 2,4G,7,937.99,med,0,1
TXN_010079,UPI,iOS,Tier 1,4G,1,1773.65,med,0,1
TXN_010080,Netbanking,Android,Tier 3,Wifi,22,183.9,low,0,1
TXN_010081,Card,Android,Tier 1,5G,12,632.47,med,0,1
TXN_010082,UPI,Android,Tier 1,4G,0,823.44,med,1,1
TXN_010083,UPI,Android,Tier 1,4G,21,1884.45,med,0,1
TXN_010084,UPI,Android,Tier 3,4G,9,1244.99,med,0,1
TXN_010085,UPI,Android,Tier 1,5G,11,301.13,low,0,1
TXN_010086,Card,Android,Tier 1,4G,10,3385.9,high,0,1
TXN_010087,Card,Android,Tier 2,4G,9,470.69,low,1,0
TXN_010088,Wallet,Android,Tier 1,4G,13,285.54,low,0,1
TXN_010089,UPI,Android,Tier 2,3G,13,1024.64,med,0,1
TXN_010090,UPI,Android,Tier 1,5G,7,332.47,low,0,1
TXN_010091,Card,Android,Tier 2,Wifi,10,3211.72,high,0,1
TXN_010092,Netbanking,Android,Tier 1,4G,21,4807.47,high,0,1
TXN_010093,Card,iOS,Tier 2,4G,8,513.61,med,0,0
TXN_010094,Netbanking,Android,Tier 2,4G,14,295.63,low,0,1
TXN_010095,UPI,Android,Tier 2,Wifi,0,1863.66,med,1,1
TXN_010096,UPI,Android,Tier 2,4G,18,975.41,med,1,1
TXN_010097,UPI,iOS,Tier 3,4G,17,394.61,low,0,1
TXN_010098,UPI,iOS,Tier 1,4G,11,604.61,med,2,1
TXN_010099,UPI,Android,Tier 1,5G,7,811.21,med,0,1
TXN_010100,UPI,Android,Tier 2,4G,4,136.03,low,0,1
TXN_010101,Card,Android,Tier 2,5G,12,2637.74,high,0,0
TXN_010102,UPI,Desktop,Tier 1,3G,16,298.16,low,1,1
TXN_010103,UPI,iOS,Tier 2,4G,0,502.26,med,0,1
TXN_010104,Wallet,Android,Tier 1,5G,1,995.71,med,0,1
TXN_010105,UPI,iOS,Tier 2,5G,6,3003.15,high,0,1
TXN_010106,UPI,iOS,Tier 3,Wifi,1,8355.0,high,0,1
TXN_010107,Netbanking,Android,Tier 2,4G,21,643.2,med,2,0
TXN_010108,UPI,Android,Tier 1,4G,3,2845.44,high,0,1
TXN_010109,UPI,Android,Tier 2,5G,12,470.98,low,0,1
TXN_010110,UPI,Android,Tier 2,4G,13,1751.74,med,2,1
TXN_010111,UPI,iOS,Tier 1,Wifi,19,460.05,low,0,1
TXN_010112,Wallet,Android,Tier 2,5G,2,121.32,low,0,0
TXN_010113,Netbanking,iOS,Tier 3,5G,8,2824.89,high,0,0
TXN_010114,Card,Desktop,Tier 1,4G,17,383.34,low,0,1
TXN_010115,Wallet,Android,Tier 1,5G,15,1181.18,med,0,1
